title,thumbnail,tags,release_date,review_score,reviewed_by,price_currency,sale_price,original_price,discount_pct
Borderlands 3,https://cdn.akamai.steamstatic.com/steam/apps/397540/header.jpg?t=1657214217,"['RPG', 'Action', 'Looter Shooter', 'FPS', 'Multiplayer']",2020-03-13,Very Positive,86481,C$,7.99,79.99,90.011
Sid Meier’s Civilization® VI,https://cdn.akamai.steamstatic.com/steam/apps/289070/header.jpg?t=1676417504,"['Strategy', 'Turn-Based Strategy', 'Multiplayer', 'Historical', 'Singleplayer']",2016-10-21,Very Positive,182570,C$,7.99,79.99,90.011
NBA 2K23,https://cdn.akamai.steamstatic.com/steam/apps/1919590/header.jpg?t=1673625785,"['Immersive Sim', 'Sports', 'Basketball', 'Simulation', 'Co-op']",2022-09-08,Mixed,15226,C$,23.99,79.99,70.009
Age of Empires IV: Anniversary Edition,https://cdn.akamai.steamstatic.com/steam/apps/1466860/header.jpg?t=1675198657,"['Strategy', 'RTS', 'Multiplayer', 'War', 'Medieval']",2021-10-28,Very Positive,34942,C$,29.99,49.99,40.008
Tiny Tina's Wonderlands,https://cdn.akamai.steamstatic.com/steam/apps/1286680/header.jpg?t=1660273090,"['Loot', 'Adventure', 'Shooter', 'Multiplayer', 'FPS']",2022-06-23,Mostly Positive,6952,C$,39.99,79.99,50.006
The Elder Scrolls V: Skyrim Special Edition,https://cdn.akamai.steamstatic.com/steam/apps/489830/header.jpg?t=1650909796,"['Open World', 'RPG', 'Adventure', 'Singleplayer', 'Fantasy']",2016-10-27,Very Positive,123555,C$,13.37,53.49,75.005
Marvel's Midnight Suns,https://cdn.akamai.steamstatic.com/steam/apps/368260/header.jpg?t=1676411311,"['Superhero', 'Turn-Based Tactics', 'Tactical RPG', 'Deckbuilding', 'Turn-Based Strategy']",2022-12-02,Mostly Positive,6038,C$,47.99,79.99,40.005
Batman™: Arkham Knight,https://cdn.akamai.steamstatic.com/steam/apps/208650/header.jpg?t=1634156452,"['Action', 'Open World', 'Superhero', 'Stealth', 'Adventure']",2015-06-23,Very Positive,61532,C$,5.99,29.99,80.027
ZERO Sievert,https://cdn.akamai.steamstatic.com/steam/apps/1782120/header.jpg?t=1674056428,"['Survival', 'Post-apocalyptic', 'Action', 'Shooter', 'Early Access']",2022-11-15,Very Positive,5473,C$,20.79,25.99,20.008
Back 4 Blood,https://cdn.akamai.steamstatic.com/steam/apps/924970/header.jpg?t=1672856194,"['Online Co-Op', 'Multiplayer', 'Shooter', 'FPS', 'Action']",2021-10-12,Mixed,33631,C$,19.99,79.99,75.009
Pharaoh: A New Era,https://cdn.akamai.steamstatic.com/steam/apps/1351080/header.jpg?t=1676473513,"['City Builder', 'Simulation', 'Building', 'Management', 'Colony Sim']",2023-02-15,Mostly Positive,952,C$,25.41,29.9,15.017
HELLCARD,https://cdn.akamai.steamstatic.com/steam/apps/1201540/header.jpg?t=1676641472,"['RPG', 'Roguelike', 'Roguelite', 'Co-op', 'Card Battler']",2023-02-16,Very Positive,203,C$,20.51,22.79,10.004
